# SRQ-26 结构化实验账本。每条实验一行，制表符分隔。
# op_family: 1=边界一致性 2=相位消除 3=调度结构 4=内存放置 5=构建旗标 6=延迟隐藏 7=判据/探针 8=正确性修复
# source: self/reprice/deconf/enum/external 等来源标签可按 PLAYBOOK.md 使用
# verdict: keep / reject / neutral
# base_score/cand_score: 四个 case speedup 与 2:2:2:4 加权值，格式应在首条实验中固定
exp_id	date	op_family	source	title	base_commit	base_score	cand_score	verdict	confound	note
EXP-001	2026-09-19	7	external	OpenBLAS correctness oracle and fixed native Task baseline	3aaaa6f	1.000		neutral	OpenBLAS correctness-only; seed 260919; 5-run native Task medians fixed in baseline.tsv; only two candidate samples retained	Candidate samples 0.708:0.678:0.971:0.993 and 1.051:1.017:1.001:1.009; third run stopped; cache/perf/IMC probes recorded.
EXP-002	2026-09-19	3	self	Shape-aware parallel kernels and fused epilogue	9fc12f9	0.876	10.793:14.355:323.272:13.833:75.217	keep	Parallelism, zero skip, K8 kernel, and epilogue fusion changed together	Two formal runs; times 0.107821:0.158412:0.173662:0.050401 and 0.108589:0.159477:0.174345:0.049071.
EXP-003	2026-09-19	3	deconf	Direct multi-thread BLAS dense dispatch	e4e1bdc	10.755:14.307:322.638:14.017:75.147	8.863:8.909:293.862:14.521:68.135	reject	OpenBLAS pthread phase followed by OpenMP epilogue	Dense cases both regressed; later repriced with single-thread slabs.
EXP-004	2026-09-19	2	self	Per-call sparse-B compression	e4e1bdc	10.793:14.355:323.272:13.833:75.217	10.700:14.230:601.878:13.937:130.937	keep	Also removes rejected EXP-003 dense dispatch	Includes B scan, allocation, conversion and free; two formal runs.
EXP-005	2026-09-19	6	self	Scalar fast-math and polynomial sigmoid probes	256b0c6	10.700:14.230:601.878:13.937:130.937	10.950:14.217:506.586:11.127:110.802	reject	Fast-math sample noisy; polynomial path has branches and scalar divides	Assembly remained scalar exp for fast-math; both changes reverted.
EXP-006	2026-09-19	5	self	AVX-512 target and sparse scatter	256b0c6	10.700:14.230:601.878:13.937:130.937	11.765:15.117:648.215:14.322:140.748	keep	Case3 shared-node variance; candidate score is midpoint of two formal runs	Assembly confirms zmm and vscatterdpd; no stable regression observed.
EXP-007	2026-09-19	3	deconf	Single-thread BLAS slabs under OpenMP	149daec	11.926:15.228:603.530:13.923:131.706	47.700:64.631:497.790:13.033:127.237	keep	Case3 noise masks weighted gain	Dense cases improve about 4x by removing internal BLAS parallel scheduling.
EXP-008	2026-09-19	2	self	Explicit AVX-512 libmvec sigmoid	40377ae	47.700:64.631:497.790:13.033:127.237	45.160:67.330:574.211:16.019:143.878	keep	Combined score includes noisy case3; three-run median	Assembly calls _ZGVeN8v_exp; formal weighted outputs 143.878, 142.591 and final-commit 148.416.
EXP-009	2026-09-19	7	self	Theoretical peak and nominal FLOPS reporting	5485131	45.160:67.330:574.211:16.019:143.878	47.115:68.128:586.013:15.290:146.367	neutral	Reporting-only; case3 nominal FLOPS include skipped zero operations	Base peak 2560.0 GFLOP/s; case nominal 346.5:513.0:2237.2:23.9; weighted nominal 628.9 GFLOP/s.
EXP-010	2026-09-19	7	self	50-percent-peak stage baseline and phase decomposition	3559f62	47.115:68.128:586.013:15.290:146.367	44.779:68.352:598.846:16.515:149.002	neutral	Three-run baseline; candidate columns hold run2, not a new implementation	Weighted nominal runs 628.9:636.4:623.5 median 628.9; sparse count/build/compute/activation 0.010019:0.002381:0.069487:0.010851 seconds.
EXP-011	2026-09-19	3	enum	Shape-specific two-dimensional dense grids	b61961d	46.924:67.107:529.196:20.472:136.835	50.565:71.490:500.576:28.187:135.801	keep	Case3 and case4 noise excluded from dense-grid verdict	A-B-A dense times A1 0.025728:0.033182 B 0.023096:0.031916 A2 0.024101:0.034860; keep case1 4x8 and case2 16x2.
